# Global lower-menu order for equality theorems in Transformation Mode.
# Format: category | unqualified Lean theorem name | full Lean statement
# Reorder whole lines. Each category tab uses its subset of this global list,
# preserving the order below.

+ | add_zero | (n : ℕ) : n + 0 = n
+ | zero_add | (n : ℕ) : 0 + n = n
+ | add_succ | (a b : ℕ) : a + succ b = succ (a + b)
+ | succ_add | (a b : ℕ) : succ a + b = succ (a + b)
+ | succ_eq_add_one | (n : ℕ) : succ n = n + 1
+ | add_comm | (a b : ℕ) : a + b = b + a
+ | add_assoc | (a b c : ℕ) : a + b + c = a + (b + c)
+ | add_right_comm | (a b c : ℕ) : a + b + c = a + c + b
* | mul_zero | (m : ℕ) : m * 0 = 0
* | zero_mul | (m : ℕ) : 0 * m = 0
* | mul_one | (m : ℕ) : m * 1 = m
* | one_mul | (m : ℕ) : 1 * m = m
* | mul_succ | (a b : ℕ) : a * succ b = a * b + a
* | succ_mul | (a b : ℕ) : succ a * b = a * b + b
* | add_mul | (a b c : ℕ) : (a + b) * c = a * c + b * c
* | mul_add | (a b c : ℕ) : a * (b + c) = a * b + a * c
* | mul_comm | (a b : ℕ) : a * b = b * a
* | mul_assoc | (a b c : ℕ) : a * b * c = a * (b * c)
* | two_mul | (m : ℕ) : 2 * m = m + m
^ | zero_pow_zero | 0 ^ 0 = 1
^ | zero_pow_succ | (m : ℕ) : 0 ^ succ m = 0
^ | pow_zero | (m : ℕ) : m ^ 0 = 1
^ | one_pow | (m : ℕ) : 1 ^ m = 1
^ | pow_one | (a : ℕ) : a ^ 1 = a
^ | pow_succ | (m n : ℕ) : m ^ succ n = m ^ n * m
^ | pow_add | (a m n : ℕ) : a ^ (m + n) = a ^ m * a ^ n
^ | mul_pow | (a b n : ℕ) : (a * b) ^ n = a ^ n * b ^ n
^ | pow_pow | (a m n : ℕ) : (a ^ m) ^ n = a ^ (m * n)
^ | pow_two | (a : ℕ) : a ^ 2 = a * a
^ | add_sq | (a b : ℕ) : (a + b) ^ 2 = a ^ 2 + b ^ 2 + 2 * a * b
012 | one_eq_succ_zero | 1 = succ 0
012 | two_eq_succ_one | 2 = succ 1
012 | three_eq_succ_two | 3 = succ 2
012 | four_eq_succ_three | 4 = succ 3
